Part,Quantity,Cost,Link
Flukebox V1.0 PCB,1,$6.14,https://www.pcbway.com/
1100 mah 3.7v Lipo Battery,1,$6.15,https://www.amazon.com/EEMB-1100mAh-Battery-Rechargeable-Connector/dp/B08VRYS8FT/ref=sr_1_1_sspa?crid=2S3VX980YWSYC&dib=eyJ2IjoiMSJ9.527g58Y9Np3U4ay7Ynhft9oz5jxL_q0tBdK6Jhg5i2qVCMdKfWvJL8THuVJP7RQE6x-wDM8Cu73vTD1XErAjSV0LJI9dK2tP0vH9IWnzmUQr-9z2EAGGo5Q5OrNdqMsmbf_Q3wfwiUvJptw--vWJoOa3RCV4bCYNZiv3_PaYZjO2bpFiE_Itu4vJSibLMP0QDhyUv3Sc9uMUXXTg78WhYfs6S30XmR-Ful_mjPImVqFZQ0VDCc_Pggd_4yWz-JogyIsQ3m1c593V0howAHdYTjsS1uKYrYbxfJN5aGkXvE0.f4zLLmCzdgiIO8jumeIezm7sn-FJJ7xwXdujoz6P67I&dib_tag=se&keywords=1100mah+lipo&qid=1787577363&sprefix=1100mah+lipo%2Caps%2C232&sr=8-1-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&psc=1
Micro SD Reader,1,$5.99,https://www.amazon.com/Adapter-Reader-Interface-Arduino-Raspberry/dp/B0H493ZTBM/ref=sr_1_11?crid=21YY9EA6SFCL7&dib=eyJ2IjoiMSJ9.walHlm3MKM8lfci1a8CLPF_7C2zPdUt7zraGoeScBYKM2utFRGYw9nRiby07xPC-m2sXPUhx3f7y72_ITih9QIS_ffAHqCi-8-4KDMdYtWxTuV1jFBPSjPYmhQjTFLg66MkxOocgOETHPpqS2kTWirUe2s3BIblfowkrKQfvjv3MYAbEeJf9PUGuzCd3QOdahjqyY-3fsfhKRnNC0_fIOjSupHhSfDdYY_2frpVq5hw.9BF5ttIaR1htv8d_ffkB2PhtxAVq5OwiEB_9S7_te5I&dib_tag=se&keywords=microsd+reader+esp32&qid=1786550605&sprefix=microsd+reader+esp32%2Caps%2C213&sr=8-11
128x64 OLED,1,$3.00,https://www.amazon.com/Hosyond-Display-Self-Luminous-Compatible-Raspberry/dp/B09T6SJBV5/ref=sr_1_1_sspa?crid=3486QS2HMYOTT&dib=eyJ2IjoiMSJ9.osj8vmVRsTnxLy0EysPmRBraDYnAd6Q3szW3Lmz49XwMcTbsi8tcbEY1yJB9VDMCvbb4bkgBb46eCr1szS3N6MOmfV53LvAR6B_vtC4lVpMzhbdSEBdrgAz8IJlwMvS_Jp5PmxPp4c9MbYBK2g8xn_46lquyoaXSs7eUDQGtmlXp39Q97kukBmSzhugF2lgpB44sv13ckofDjFrk7EXTJCXsCK_vytYJ7fjlnx48nNA.fBGl7R-LVSMMfLfwi0vIoplMKnn-jwMLKqQD0ByU_H8&dib_tag=se&keywords=128x64%2BOLED&qid=1786550823&sprefix=128x64%2Boled%2Caps%2C358&sr=8-1-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&th=1
TP4056 Charging Module,1,$5.99,https://www.amazon.com/HiLetgo-Lithium-Charging-Protection-Functions/dp/B07PKND8KG/ref=sr_1_3?crid=276S0EB3GXQU&dib=eyJ2IjoiMSJ9.OXEiKPwJvIACNjZQ4SThHU52AHX1UwZjdVEOA2WGqNbslYz8_2ENRp4fgix9YLw4kpwDB5afT22a-qFXTZ2_svT_3MsoL40X92qqVaSoj8tfI9trgEA1IY1Mvrqjj38IZGZ3SPK3xZeBipQiPfXfR1FRcY5G5b3ARcIasBBVOVWsafmC1LmJcTi9IGkGCZJojvvqhlwEHiKURZK70xztuQZQpR9in5WiHRcn31n4tDE.ZpX1o3-16izftbLyXsIgwYK1O2-4FkyKv88nazkB2oo&dib_tag=se&keywords=TP4056+USB-C+LiPo+charger+module&qid=1786550885&sprefix=tp4056+usb-c+lipo+charger+module%2Caps%2C288&sr=8-3
EC11 Rotary Encoder,1,$3.00,https://www.amazon.com/WWZMDiB-Encoder-Digital-Potentiometer-Arduino/dp/B0C6Q67V97/ref=sr_1_12_sspa?crid=1T7DQZ7E4A2ZX&dib=eyJ2IjoiMSJ9.xX72c26TP4G_xvCvEMx3gIna3-ZseXCwiHZsUwVEvSHlC1Ug_4PljAUGcXz3Xaw8f46WDpG6vhxEown5uhIubNibCyaUHEGhXEubbYmtqhwCQsC-6NDLR5LP0FUJ1EXxI6DCu0tu_r18mL7hPu7MehjrMe09vjtiRSIh2-N-ugl7Uo73U3kB8dQuhlY_fgAfeYV641OHx76ENk3KfEXYwP6k9DAmRu3O4iPaUpG2mRI.O9kPEuktQOxdyJBjpXIX7aW1tLMgaB22pBu2uLC3d0k&dib_tag=se&keywords=ec11+rotary+encoder&qid=1786550952&sprefix=ec11+rot%2Caps%2C233&sr=8-12-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9tdGY&psc=1
6x6mm 4-pin Push Buttons,3,$0.15,https://www.amazon.com/QTEATAK-Momentary-Tactile-Button-Switch/dp/B07VSNN9S2/ref=sr_1_1_sspa?crid=35ZEBVRA922RO&dib=eyJ2IjoiMSJ9.7soJkyPRFX6jMPe8nln86xqwiHCSjp3t6_MJNoFK7df_qeU_arSpNDg7R6tU4qM-4Idt5kW_BntEz1YCks-1LldLB--D_tNrPyC2kBZO2xQNZ0VHSJhHaYafrvRGLEulwkQ0n6rhRsBTRWJWA9WDA5SQZC2KQxjrD2uKlU5KvElVuM10ht45iqMaOzYchlzm0Z2EHkyE8rCNpCizte2-sE6BPXb8EmSe7e7rpRreH4Y.qy9SaFw3JYVrxRfOtTKIeHXjBKtpjGde6LWP_eH41vo&dib_tag=se&keywords=6x6mm%2Bpush%2Bbuttons&qid=1787577897&sprefix=6x6mm%2Bpush%2Bbutton%2Caps%2C234&sr=8-1-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&th=1
PCM5102 DAC Module,1,$8.88,https://www.amazon.com/PCM5102-PCM5102A-Digital-Converter-Raspberry/dp/B0DNW32Y46/ref=sr_1_3?crid=3U7EJU8BETGU4&dib=eyJ2IjoiMSJ9.Aq9Q9ZWee2iMcZUWl__l_7b85qdd44k8RcIYx0jtHssewa5_KqHqzQ9Um070nhdYuJwXMzcYRrGL9t_YwrIWKeWkSJuEi8LxVXQByjmriFPzYNAZQqUz6bfyuqYvx5nU1VxKr9wjaQ7udclaPYuzfe34_FM-FL23f-4pX4z2JKqqWoZkyrh2CO4GnCo9-KOrm0SL6mQtkD5vlrqEnRj8UsEULxwyG0buSn39WEEJ7pk.Z8Jerq9QhAF8HSAMHQTlVzv5fXf5OjLaUJ9ER_prvZU&dib_tag=se&keywords=PCM5102A+I%C2%B2S+DAC+module&qid=1786549753&sprefix=pcm5102a+i+s+dac+module%2Caps%2C266&sr=8-3
ESPRESSIF ESP32-WROOM-32E-N8,1,$5.43,https://www.digikey.com/en/products/detail/espressif-systems/ESP32-WROOM-32E-N8/13159522
Slide Switch,1,$0.30,https://www.amazon.com/Position-Breadboard-Electronic-Miniature-SlideSwitch/dp/B09R3XLVVS/ref=sxin_18_pa_sp_search_thematic_sspa?content-id=amzn1.sym.8eb671a2-a903-4c3a-b962-ebb867a4f8f8%3Aamzn1.sym.8eb671a2-a903-4c3a-b962-ebb867a4f8f8&crid=6XYSSRYPB6J7&cv_ct_cx=slide%2Bswitch&keywords=slide%2Bswitch&pd_rd_i=B09R434VJQ&pd_rd_r=fabd1ff7-4537-44ee-a151-1ccfbab1d5de&pd_rd_w=iuL4f&pd_rd_wg=BiurB&pf_rd_p=8eb671a2-a903-4c3a-b962-ebb867a4f8f8&pf_rd_r=VCKJ2HZH75AC4JVY9YCV&qid=1787578141&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sprefix=slide%2Bswitch%2Caps%2C206&sr=1-1-6024b2a3-78e4-4fed-8fed-e1613be3bcce-spons&aref=2rpydVwO9V&sp_csd=d2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM&th=1
